title,average_rating,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,author,genres,description,rating,RatingDist2,RatingDist5,ISBN,RatingDist3
"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",2.432638889,815,4:75683,total:274268,17,1,Wings Books,194,1996,eng,Douglas Adams,Self-Help,Sample Description 13,4.37,5.370138889,5:157499,0517149257,3:30030
A Short History of Nearly Everything,3.611111111,544,4:94040,total:276166,14,9,Broadway Books,9545,2004,eng,Bill Bryson,History,Sample Description 14,4.21,6.588194444,5:129555,076790818X,3:38064
Bill Bryson's African Diary,0.214583333,55,1.839583333,total:8393,3,12,Broadway Books,503,2002,eng,Bill Bryson,Science,Sample Description 15,3.45,0.767361111,1.186111111,0767915062,2.445833333
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,1:36,256,0.909027778,total:2656,14,9,Broadway Books,131,2004,eng,Bill Bryson,Fntasy,Sample Description 16,3.88,0.172222222,0.714583333,0767910435,0.606944444
In a Sunburned Country,0.727083333,335,4:34941,total:85287,15,5,Broadway Books,4298,2001,eng,Bill Bryson,Biography,Sample Description 17,4.07,2.097222222,5:30483,0767903862,3:15976
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,0.55625,304,4:22652,total:56082,28,6,Broadway Books,2224,2000,eng,Bill Bryson,Self-Help,Sample Description 18,3.9,1.964583333,5:15891,076790382X,3:14089
The Lost Continent: Travels in Small Town America,0.995138889,299,4:18427,total:49012,28,8,William Morrow Paperbacks,2276,1990,eng,Bill Bryson,History,Sample Description 19,3.83,2.31875,5:14013,0060920084,3:11980
Neither Here nor There: Travels in Europe,0.855555556,254,4:20655,total:54388,28,3,William Morrow Paperbacks,2264,1993,eng,Bill Bryson,Science,Sample Description 20,3.86,2.378472222,5:15888,0380713802,3:13368
Notes from a Small Island,1.074305556,324,4:35153,total:89491,28,5,William Morrow Paperbacks,3335,1997,eng,Bill Bryson,Fntasy,Sample Description 21,3.92,3.359027778,5:27216,0380727501,3:20918
The Mother Tongue: English and How It Got That Way,0.381944444,270,4:13483,total:33416,28,9,William Morrow Paperbacks,2123,1991,eng,Bill Bryson,Biography,Sample Description 22,3.93,1.257638889,5:10087,0380715430,5.447916667
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0.680555556,1728,4:22283,total:106621,25,9,Ballantine Books,1548,2012,eng,J.R.R. Tolkien,Self-Help,Sample Description 23,4.6,1.085416667,5:75533,0345538374,4.598611111
"The Lord of the Rings (The Lord of the Rings, #1-3)",4.051388889,1184,4:126639,total:539513,21,10,Houghton Mifflin Harcourt,90,2004,eng,J.R.R. Tolkien,History,Sample Description 24,4.5,2:11142,5:352247,0618517650,3:43711
"The Fellowship of the Ring (The Lord of the Rings, #1)",1:45879,398,4:593379,total:2255826,5,9,Houghton Mifflin Harcourt,13935,2003,eng,J.R.R. Tolkien,Science,Sample Description 25,4.36,2:65166,5:1314771,0618346252,3:236631
The Lord of the Rings: Weapons and Warfare,0.274305556,218,2.970138889,total:20920,5,11,Houghton Mifflin Harcourt,45,2003,eng,Chris   Smith,Fntasy,Sample Description 26,4.53,0.304861111,5:14522,0618391002,1.310416667
The Lord of the Rings: Complete Visual Companion,1:04,224,0.223611111,total:380,15,11,Houghton Mifflin Harcourt,6,2004,eng,Jude Fisher,Biography,Sample Description 27,4.5,2:10,0.384027778,0618510826,3:31
The Lord of the Rings Box Set,4.051388889,1223,4:126639,total:539513,19,9,,19,2001,eng,J.R.R. Tolkien,Self-Help,Sample Description 28,4.5,2:11142,5:352247,0618153977,3:43711
Agile Web Development with Rails: A Pragmatic Guide,1:56,558,0.736111111,total:2080,28,7,Pragmatic Bookshelf,59,2005,eng,Dave Thomas,History,Sample Description 29,3.84,0.169444444,0.611111111,097669400X,0.472222222
Ruby Quickly: Ruby and Rails for the Real World,1:01,360,4:00,total:5,1,8,Manning Publications,0,2006,,Mark   Watson,Science,Sample Description 30,3.4,2:00,5:02,1932394745,3:02
"Hatchet (Brian's Saga, #1)",1:14007,208,4:92227,total:288973,1,4,Atheneum Books for Young Readers: Richard Jackson Books,12157,2000,eng,Gary Paulsen,Fntasy,Sample Description 31,3.7199999999999998,2:26144,5:85440,0689840926,3:71155
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",1:03,48,4:08,total:36,28,8,Teacher Created Resources,2,1994,eng,Donna Ickes,Biography,Sample Description 32,4,2:02,5:18,1557344493,3:05
Guts: The True Stories behind Hatchet and the Brian Books,1:54,144,0.743055556,total:2400,23,1,Delacorte Press,336,2001,eng,Gary Paulsen,Self-Help,Sample Description 33,3.88,0.179861111,0.743055556,0385326505,0.546527778
Molly Hatchet - 5 of the Best,1:01,56,4:00,total:6,10,6,Cherry Lane Music Company,0,2003,eng,Molly Hatchet,History,Sample Description 34,4.33,2:00,5:05,1575606240,3:00
Hatchet Jobs: Writings on Contemporary Fiction,1:10,228,4:43,total:123,1,11,The New Press,16,2005,en-US,Dale Peck,Science,Sample Description 35,3.46,2:10,5:22,1595580271,3:38
The Woodsman and His Hatchet: Eighty Years on Back Country Survival,1:00,150,4:00,total:10,1,10,Stoneydale Press,0,1996,,Bud Cheff Sr.,Fntasy,Sample Description 36,3.6,2:02,5:04,0912299622,3:04
A Changeling for All Seasons (Changeling Seasons #1),1:10,304,4:49,total:171,1,11,Changeling Press,4,2005,eng,Angela Knight,Biography,Sample Description 37,3.76,2:13,5:57,1595962808,3:42
"Changeling (Changeling, #1)",1:39,256,0.411111111,total:1049,17,8,Viking Juvenile,112,2006,eng,Delia Sherman,Self-Help,Sample Description 38,3.6,0.150694444,0.366666667,0670059676,0.35625
The Changeling Sea,0.096527778,137,1.29375,total:4836,14,4,Firebird,306,2003,eng,Patricia A. McKillip,History,Sample Description 39,4.06,0.21875,1.555555556,0141312629,0.81875
The Changeling,1:13,228,0.48125,total:1365,8,6,iUniverse,97,2004,eng,Zilpha Keatley Snyder,Science,Sample Description 40,4.17,2:48,0.632638889,0595321801,0.291666667
"Shadows in the Starlight (Changeling Detective, #2)",1:06,288,0.220138889,total:199,6,2,Tor Books,6,2007,,Elaine Cunningham,Fntasy,Sample Description 41,3.68,2:11,5:41,0765348527,0.169444444
"The Changeling (Daughters of England, #15)",1:02,369,0.271527778,total:439,28,8,Ivy Books,13,1990,eng,Philippa Carr,Biography,Sample Description 42,3.98,2:21,0.313888889,0449146979,0.203472222
The Known World,0.689583333,388,4:12417,total:33493,29,8,Amistad,2632,2006,eng,Edward P. Jones,Self-Help,Sample Description 43,3.83,1.791666667,7.079166667,0061159174,5.534027778
"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",1:38,334,0.561805556,total:1645,15,5,FT Press,83,2006,eng,Satyajit Das,History,Sample Description 44,3.83,0.161111111,0.55,0273704745,0.426388889
Artesia: Adventures in the Known World,1:00,352,4:24,total:53,14,12,Archaia,4,2005,eng,Mark Smylie,Science,Sample Description 45,4.13,2:02,5:19,1932386106,3:08
"The John McPhee Reader (John McPhee Reader, #1)",1:02,416,0.322222222,total:624,1,6,"Farrar, Straus and Giroux",37,1982,eng,John McPhee,Fntasy,Sample Description 46,4.42,2:06,0.441666667,0374517193,3:56
Uncommon Carriers,1:21,248,0.764583333,total:1895,16,5,Farrar Straus Giroux,203,2006,en-US,John McPhee,Biography,Sample Description 47,3.95,0.135416667,0.575694444,0374280398,0.409027778
Heirs of General Practice,1:01,128,0.25,total:287,1,4,"Farrar, Straus and Giroux",23,1986,eng,John McPhee,Self-Help,Sample Description 48,4.16,2:06,0.284722222,0374519749,3:50
The Control of Nature,1:25,288,1.179166667,total:3747,1,9,"Farrar, Straus and Giroux",305,1990,en-US,John McPhee,History,Sample Description 49,4.24,0.144444444,1.36875,0374522596,0.475694444
Annals of the Former World,1:56,720,0.863194444,total:3472,6,1,"Farrar, Straus and Giroux",227,1999,eng,John McPhee,Science,Sample Description 50,4.34,0.153472222,1.550694444,0374518734,0.388194444
Coming Into the Country,1:57,448,1.757638889,total:6049,1,4,"Farrar, Straus and Giroux",262,1991,eng,John McPhee,Fntasy,Sample Description 51,4.22,0.186805556,2.063888889,0374522871,0.736111111
La Place de la Concorde Suisse,1:07,160,0.398611111,total:816,1,4,"Farrar, Straus and Giroux",53,1994,fre,John McPhee,Biography,Sample Description 52,3.92,2:44,0.374305556,0374519323,0.258333333
Giving Good Weight,1:03,288,0.340972222,total:587,1,4,"Farrar, Straus and Giroux",36,1994,eng,John McPhee,Self-Help,Sample Description 53,4.22,2:10,0.376388889,0374516006,0.18125
"The Second John McPhee Reader (John McPhee Reader, #2)",1:00,393,0.216666667,total:202,28,2,"Farrar, Straus and Giroux",1,1996,,John McPhee,History,Sample Description 54,4.37,2:02,0.279861111,0374256861,3:25
Rising from the Plains,1:07,208,0.551388889,total:1418,1,11,"Farrar, Straus and Giroux",99,1987,eng,John McPhee,Science,Sample Description 55,4.23,2:31,0.636111111,0374520658,0.270833333
The Heidi Chronicles,1:38,81,0.517361111,total:1513,1,3,Dramatists Play Service,70,2002,eng,Wendy Wasserstein,Fntasy,Sample Description 56,3.75,0.179861111,0.500694444,0822205106,0.409722222
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,0.1,249,0.797222222,total:2776,2,7,Vintage,64,1991,eng,Wendy Wasserstein,Biography,Sample Description 57,3.84,0.220138889,0.829166667,0679734996,0.60625
"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",1:01,138,4:09,total:31,29,3,Routledge,1,2006,eng,Heidi Hayes Jacobs,Self-Help,Sample Description 58,3.94,2:00,5:11,1596670231,3:10
Simply Beautiful Beaded Jewelry,1:01,128,4:22,total:64,14,3,North Light Books,4,2006,en-US,Heidi Boyd,History,Sample Description 59,3.77,2:05,5:17,1581807740,3:19
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,1:09,192,0.338194444,total:1009,1,9,Chosen Books,53,2003,eng,Heidi Baker,Science,Sample Description 60,4.46,2:18,0.647222222,0800793617,0.196527778
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,1:03,108,4:23,total:77,28,1,Association for Supervision & Curriculum Development,2,1997,en-US,Heidi Hayes Jacobs,Fntasy,Sample Description 61,3.66,2:04,5:19,0871202867,3:28
"Heidi (Heidi, #1-2)",1.647222222,352,4:55474,total:167957,15,11,Kingfisher,2289,2002,eng,Johanna Spyri,Biography,Sample Description 62,3.99,6.1625,5:61857,0753454947,3:39560
Getting Results with Curriculum Mapping,1:02,192,4:08,total:56,15,11,ASCD,5,2004,eng,Heidi Hayes Jacobs,Self-Help,Sample Description 63,3.25,2:12,5:11,0871209993,3:23
"Cinnamon and Roses (Rose Trilogy, #1)",1:03,298,4:22,total:82,1,1,Leisure Books,5,2000,,Heidi Betts,History,Sample Description 64,3.83,2:08,5:30,0843946687,3:19
There's Always Enough: The Miraculous Move of God in Mozambique,1:09,192,0.338194444,total:1009,28,4,Sovereign World,6,2003,eng,Rolland Baker,Science,Sample Description 65,4.46,2:18,0.647222222,1852402873,0.196527778
What to Expect the First Year (What to Expect),0.322222222,832,3.956944444,total:15480,16,10,Workman Publishing Company,663,2003,eng,Heidi Murkoff,Fntasy,Sample Description 66,3.89,0.692361111,3.672916667,0761129588,2.730555556
The Player's Handbook: The Ultimate Guide on Dating and Relationships,1:01,123,4:07,total:34,10,5,One Hour Entertainment,8,2004,eng,Heidi Fleiss,Biography,Sample Description 67,3.8200000000000003,2:05,5:14,0972016414,3:07
Simply Beautiful Beading: 53 Quick and Easy Projects,1:00,128,4:30,total:86,19,8,North Light Books,4,2004,en-US,Heidi Boyd,Self-Help,Sample Description 68,3.7800000000000002,2:09,5:23,1581805632,3:24
Chasing Jordan,1:04,240,4:07,total:36,11,7,Serpent's Tail,7,2005,,Heidi W. Boehringer,History,Sample Description 69,3.44,2:03,5:10,1852428937,3:12
Seven-Year Seduction,1:03,184,4:31,total:89,14,2,Silhouette Desire,6,2006,,Heidi Betts,Science,Sample Description 70,3.61,2:07,5:18,0373767099,3:30
"God Emperor of Dune (Dune Chronicles, #4)",0.894444444,423,4:20916,total:63372,15,6,Ace Books,167,1987,eng,Frank Herbert,Fntasy,Sample Description 71,3.85,3.504166667,5:20076,0441294677,3:16226
"Dune (Dune Chronicles, #1)",1:15670,528,4:200976,total:688418,2,8,Ace Books,468,2005,eng,Frank Herbert,Biography,Sample Description 72,4.23,2:27945,5:351127,,3:92700
Chapterhouse: Dune (Dune Chronicles #6),0.564583333,436,4:14899,total:44113,1,7,Ace Books,569,1987,eng,Frank Herbert,Self-Help,Sample Description 73,3.91,2.125694444,5:14828,0441102670,3:10692
Dune Messiah (Dune Chronicles #2),0.924305556,331,4:47997,total:119887,15,7,Ace Books,2372,1987,eng,Frank Herbert,History,Sample Description 74,3.88,4.716666667,5:33606,0441172695,3:30341
Dreamer of Dune: The Biography of Frank Herbert,1:18,592,0.357638889,total:849,1,7,Tor Books,21,2004,en-US,Brian Herbert,Science,Sample Description 75,4.01,2:42,0.436805556,0765306476,0.253472222
The Secrets of Frank Herbert's Dune,1:00,160,4:10,total:44,31,10,iBooks,0,2000,,James Van Hise,Fntasy,Sample Description 76,3.52,2:07,5:10,074340730X,3:17
"Heretics of Dune (Dune Chronicles, #5)",0.590972222,480,4:18351,total:51869,16,4,Putnam,20,1984,eng,Frank Herbert,Biography,Sample Description 77,3.86,2.475694444,5:15664,0399128980,3:13618
The Road to Dune,0.113888889,426,1.238888889,total:5143,29,8,Tor Science Fiction,83,2006,eng,Frank Herbert,Self-Help,Sample Description 78,3.88,0.316666667,1.440972222,0765353709,1.086111111
Children of Dune (Dune Chronicles #3),0.750694444,408,4:38518,total:99703,15,5,Ace Books,1408,1987,eng,Frank Herbert,History,Sample Description 79,3.93,3.688194444,5:30710,,3:24263
Heretics of Dune (Dune Chronicles #5),0.590972222,471,4:18351,total:51869,15,8,Ace Books,642,1987,eng,Frank Herbert,Science,Sample Description 80,3.86,2.475694444,5:15664,0441328008,3:13618
The Lord of the Rings: The Art of the Fellowship of the Ring,0.229166667,192,4.040972222,total:28117,12,6,Houghton Mifflin Harcourt,102,2002,eng,Gary Russell,Fntasy,Sample Description 81,4.6,0.266666667,5:20057,0618212906,1.477083333
The Patriarch: The Rise and Fall of the Bingham Dynasty,1:04,576,4:10,total:24,1,2,Touchstone,1,1993,,Susan E. Tifft,Biography,Sample Description 82,3.67,2:02,5:08,0671797077,3:00
"The Power of One (The Power of One, #1)",0.654861111,544,4:22532,total:74341,29,9,Ballantine Books,4580,1996,eng,Bryce Courtenay,Self-Help,Sample Description 83,4.35,1.435416667,5:40853,034541005X,5.768055556
The Power of One: Daisy Bates and the Little Rock Nine,1:01,192,4:10,total:37,20,12,Clarion Books,7,2004,,Dennis Brindell Fradin,History,Sample Description 84,4.41,2:00,5:22,061831556X,3:04
The Power of One Christlike Life,1:01,159,4:08,total:40,1,7,Whitaker House,3,2000,,Francis Frangipane,Science,Sample Description 85,4.22,2:03,5:23,0883686287,3:05
"The Power of One: One Person, One Rule, One Month",1:00,256,4:04,total:18,1,11,Thomas Nelson,1,2004,en-US,John C. Maxwell,Fntasy,Sample Description 86,4.22,2:02,5:10,0785260056,3:02
Power of an Hour: Business and Life Mastery in One Hour a Week,1:12,205,4:55,total:207,19,5,Wiley,16,2006,eng,Dave Lakhani,Biography,Sample Description 87,3.34,2:38,5:39,0471780936,0.16875
"The Power of One: The Solo Play for Playwrights, Actors, and Directors",1:01,240,4:04,total:15,7,2,Heinemann Drama,0,2000,eng,Louis E. Catron,Self-Help,Sample Description 88,3.67,2:02,5:05,0325001537,3:03
"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",1:02,336,4:31,total:90,3,5,William Morrow Paperbacks,9,2005,eng,Adam Ginsberg,History,Sample Description 89,3.48,2:14,5:15,006076287X,3:28
eBay for Dummies,1:06,386,0.211111111,total:217,30,10,Wiley,9,2006,eng,Marsha Collier,Science,Sample Description 90,3.51,2:28,5:43,0470045299,0.177777778
eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers,1:05,385,4:22,total:64,24,9,McGraw-Hill/Osborne,2,2004,,Debra Schepp,Fntasy,Sample Description 91,3.59,2:02,5:14,0072258691,3:21
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,1:00,260,4:05,total:24,24,1,McGraw-Hill,0,2006,eng,Chris Malta,Biography,Sample Description 92,3.62,2:04,5:07,0072262788,3:08
Starting an eBay Business for Dummies,1:05,384,4:37,total:117,17,9,Wiley,4,2004,eng,Marsha Collier,Self-Help,Sample Description 93,3.55,2:17,5:27,0764569244,3:31
eBay: Top 100 Simplified Tips & Tricks,1:00,260,4:03,total:11,6,6,Wiley,0,2006,eng,Julia Wilkinson,History,Sample Description 94,4.27,2:01,5:06,0471933821,3:01
ebay Timesaving Techniques for Dummies,1:01,391,4:04,total:23,31,5,Wiley,1,2004,en-US,Marsha Collier,Science,Sample Description 95,3.39,2:05,5:06,0764559915,3:07
eBay Business All-in-One Desk Reference for Dummies,1:01,864,4:09,total:18,25,4,Wiley,3,2005,en-US,Marsha Collier,Fntasy,Sample Description 96,3.89,2:01,5:05,0764584383,3:02
Ruby Cookbook,1:04,873,0.211805556,total:185,29,7,O'Reilly Media,4,2006,eng,Lucas Carlson,Biography,Sample Description 97,3.83,2:12,5:54,0596523696,3:50
Ruby Ann's Down Home Trailer Park Cookbook,1:02,240,4:16,total:51,3,5,Citadel,5,2005,eng,Ruby Ann Boxcar,Self-Help,Sample Description 98,4.12,2:01,5:23,0806523492,3:09
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,1:00,206,4:09,total:13,3,5,Citadel,2,2005,eng,Ruby Ann Boxcar,History,Sample Description 99,4.08,2:01,5:03,0806525363,3:00
Ruby's Low-Fat Soul Food Cookbook,1:00,175,4:01,total:5,1,9,McGraw-Hill/Contemporary Books,0,1996,,Ruby Banks-Payne,Science,Sample Description 100,4.8,2:00,5:04,0809231530,3:00
Rails Cookbook: Recipes for Rapid Web Development with Ruby,1:03,514,4:23,total:68,1,1,O'Reilly Media,1,2007,eng,Rob Orsini,Fntasy,Sample Description 101,3.46,2:10,5:12,0596527314,3:20
The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,1:00,256,4:00,total:4,1,12,Anness Publishing/Southwater Publishing,0,2000,,Ruby Le Bois,Biography,Sample Description 102,3.75,2:01,5:02,184215298X,3:01
Anna Karenina,1:16361,838,4:207053,total:631550,31,5,Penguin Classics,1873,2004,eng,Leo Tolstoy,Self-Help,Sample Description 103,4.05,2:34470,5:261170,0143035002,3:112496
CliffsNotes on Tolstoy's Anna Karenina,1:01,80,4:04,total:19,26,11,Cliffs Notes,3,1965,eng,Marianne Sturman,History,Sample Description 104,3.89,2:03,5:09,0822001837,3:02
Dinner with Anna Karenina,1:44,360,0.234722222,total:498,28,1,Mira Books,65,2006,eng,Gloria Goldreich,Science,Sample Description 105,2.98,0.15625,5:43,0778322270,0.269444444
Tolstoy: Anna Karenina,1:27,128,0.448611111,total:1214,26,11,Cambridge University Press,33,1987,eng,Anthony Thorlby,Fntasy,Sample Description 106,4.19,2:47,0.605555556,0521313252,0.2375
Untouchable,0.095833333,160,1.260416667,total:3967,3,7,Penguin Books,286,1990,eng,Mulk Raj Anand,Biography,Sample Description 107,3.7199999999999998,0.290972222,0.804861111,0140183957,0.927777778
The Untouchable,1:50,368,0.933333333,total:2686,30,6,Vintage Books,218,1998,eng,John Banville,Self-Help,Sample Description 108,3.95,0.183333333,0.79375,0679767479,0.503472222
The Untouchables,1:14,256,0.352083333,total:684,1,2,Buccaneer Books,31,1996,eng,Eliot Ness,History,Sample Description 109,3.89,2:41,0.350694444,1568491980,0.234027778
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,1:04,320,0.265277778,total:357,27,9,Scribner,40,2005,en-US,Narendra Jadhav,Science,Sample Description 110,3.8200000000000003,2:22,0.270833333,0743270797,0.19375
Dalit: The Black Untaouchables of India,1:01,100,4:02,total:10,28,1,Clarity Press,0,1995,eng,V.T. Rajshekar,Fntasy,Sample Description 111,4.2,2:00,5:06,0932863051,3:01
"The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4)",1:01,308,4:01,total:5,30,4,Cambridge University Press,0,1998,,Oliver Mendelsohn,Biography,Sample Description 112,4,2:00,5:03,0521553628,3:00
Growing Up Untouchable in India: A Dalit Autobiography,1:02,224,4:05,total:20,20,12,Rowman & Littlefield Publishers,4,2000,eng,Vasant Moon,Self-Help,Sample Description 113,3.65,2:02,5:07,0742508803,3:04
The Book of Evidence,1:00,304,4:03,total:12,20,11,Oxford University Press,2,2003,,Peter Achinstein,History,Sample Description 114,3.83,2:01,5:04,0195171713,3:04
The Evidence-Based Social Work Skills Book,1:01,216,4:01,total:10,22,9,Pearson,0,2003,eng,Barry R. Cournoyer,Science,Sample Description 115,3.4,2:03,5:04,0205358624,3:01
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",1:00,48,4:02,total:17,28,9,Teacher Created Resources,0,1991,eng,John Carratello,Fntasy,Sample Description 116,4,2:03,5:09,1557344035,3:03
Wrinkles in Time,1:19,360,0.428472222,total:1161,1,10,Harper Perennial,23,1994,eng,George Smoot,Biography,Sample Description 117,4.01,0.129861111,0.522222222,0380720442,0.295833333
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),1:32628,250,4:317628,total:1017308,1,5,EMC/Paradigm Publishing,6,2002,eng,Madeleine L'Engle,Self-Help,Sample Description 118,4,2:60867,5:412718,0821925326,3:193467
Literature Circle Guide: A Wrinkle in Time,1:02,32,4:03,total:15,1,1,Teaching Resources,0,2002,eng,Tara MacCarthy,History,Sample Description 119,3.6,2:02,5:06,043927169X,3:02
Un raccourci dans le temps,1:32628,254,4:317628,total:1017308,28,4,Pocket,8,1997,,Madeleine L'Engle,Science,Sample Description 120,4,2:60867,5:412718,2266081594,3:193467
Empress in the Wrinkle of Time: The Knight-King Chronicle,1:00,508,4:00,total:4,28,8,Xlibris Corporation,0,2000,,Valerie Metcalf Estoye,Fntasy,Sample Description 121,4.25,2:01,5:03,0738817538,3:00
A Wrinkle in Time: L-I-T Guide,1:03,40,4:12,total:54,1,12,Educational Impressions,3,1997,,Charlotte S. Jaffe,Biography,Sample Description 122,3.91,2:05,5:24,1566440114,3:10
A Wrinkle in Time: Teacher Guide,1:01,32,4:04,total:22,1,12,Novel Units,0,1998,,Anne Troy,Self-Help,Sample Description 123,4.14,2:01,5:12,1561371181,3:04
Una arruga en el tiempo – A Wrinkle in Time,1:32628,205,4:317628,total:1017308,1,6,Turtleback Books,1,1984,spa,Madeleine L'Engle,History,Sample Description 124,4,2:60867,5:412718,0606105263,3:193467
"The Long Shadow (The Morland Dynasty, #6)",1:03,367,0.28125,total:455,1,6,"Little, Brown Book Group",17,1994,eng,Cynthia Harrod-Eagles,Science,Sample Description 125,4.11,2:15,0.334027778,0751506435,0.188194444
"A Long Shadow (Inspector Ian Rutledge, #8)",1:10,352,1.425,total:3879,3,1,William Morrow,238,2006,eng,Charles Todd,Fntasy,Sample Description 126,4.12,2:56,1.109722222,006078671X,0.613194444
Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,1:01,344,4:03,total:14,31,8,Rowman & Littlefield Publishers,4,2005,,Christopher Waldrep,Biography,Sample Description 127,3.29,2:03,5:03,0742548686,3:04
Long Way Round: Chasing Shadows Across the World,0.15,320,2.697916667,total:9348,1,11,Atria Books,44,2005,en-US,Ewan McGregor,Self-Help,Sample Description 128,3.95,0.383333333,2.272916667,0743499344,1.6125
"A Shadow in Summer (Long Price Quartet, #1)",0.280555556,331,3.15625,total:11123,7,3,Tor Books,636,2006,eng,Daniel Abraham,History,Sample Description 129,3.61,0.766666667,1.634027778,0765313405,2.511805556
New Hope for the Dead (Hoke Mosely #2),1:02,244,0.496527778,total:1051,10,8,Vintage Crime/Black Lizard,79,2004,eng,Charles Willeford,Science,Sample Description 130,3.9,2:56,0.392361111,1400032490,0.300694444
Sideswipe: A Hoke Moseley Novel,1:07,215,0.448611111,total:931,8,3,Vintage Crime/Black Lizard,72,2005,eng,Charles Willeford,Fntasy,Sample Description 131,4.04,2:40,0.421527778,1400032482,0.24375
The Way We Die Now,1:04,256,0.426388889,total:803,16,8,Vintage Crime/Black Lizard,62,2005,,Charles Willeford,Biography,Sample Description 132,4.06,2:27,0.386111111,1400032504,0.223611111
Miami Blues (Hoke Moseley #1),1:44,191,1.136805556,total:3508,10,8,Vintage Crime/Black Lizard,181,2004,eng,Charles Willeford,Self-Help,Sample Description 133,3.94,0.197222222,0.952083333,1400032466,0.702777778
